accepted_symbol,synonym_symbol,scientific_name,common_name,genus,family,family_common_name,order,subclass,class,subdivision,division,growth_habit,active_growth_period,fall_conspicuous,flower_color,flower_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub,Caesalpinia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub, Vine",Summer,Yes,White,Yes,Dark Green,Coarse,Yes,Single Stem,20,35,Yes,Long,Erect,None,Yes,Yes,No,High,Low,2,10,12,Intolerant,Early Spring,High,Summer,Summer,No,Yes,No,Yes
CAME,,Caesalpinia mexicana A. Gray,Mexican holdback,Caesalpinia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPU13,,Caesalpinia pulcherrima (L.) Sw.,pride-of-Barbados,Caesalpinia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMA37,,Carissa macrocarpa (Eckl.) A. DC.,amatungulu,Carissa,Apocynaceae,Dogbane family,Gentianales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA18,,Carpinus caroliniana Walter,American hornbeam,Carpinus,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Orange,Yes,Green,Medium,No,Multiple Stem,18,30,No,Short,Erect,None,Yes,Yes,No,Low,Medium,23,80,20,Tolerant,Mid Spring,Medium,Summer,Fall,No,No,No,No
CACAC2,,Carpinus caroliniana Walter ssp. caroliniana,American hornbeam,Carpinus,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALE13,,Carya ×lecontei Little,Leconte hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,No,Yellow,No,Green,Coarse,No,Single Stem,30,85,No,Moderate,Erect,None,Yes,Yes,Yes,Medium,Medium,35,70,48,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,No
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Green,No,Green,Coarse,Yes,Single Stem,30,75,No,Moderate,Erect,None,Yes,Yes,Yes,High,Medium,25,70,50,Intolerant,Mid Spring,Medium,Summer,Fall,No,No,No,Yes
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,No,Green,Coarse,Yes,Single Stem,30,80,No,Moderate,Erect,None,Yes,Yes,No,High,Medium,30,80,50,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,Yes
